C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST09:29:02

Vmag < 6
--------

Number of objects : 5156

 #  ;            identifier             ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;   radvel   ;  Mag V  
2187;* zet Psc A                        ;018.4328583431900 +07.5753599374500;142.693 -53.051     ;24.4595   ;15.00       ;5.19     
2188;* mu. Psc                          ;022.5463101529 +06.1438215806      ;  292.00 -45.95     ;10.73     ;34.409      ;4.84     
2189;* nu. Psc                          ;025.3578912904 +05.4876128403      ;    -23.36 3.36     ;8.98      ;0.482       ;4.44     
2190;* nu. Cet                          ;038.9686391238 +05.5932471794      ;  -26.51 -22.32     ;9.59      ;6.90        ;4.871    
2191;HD 199942                          ;315.0166243945000 +07.5161882527000;  43.763 32.028     ;11.6851   ;-20         ;5.995    
2192;* 9 Equ                            ;320.2701082390199 +07.3545043241100; 43.287 -17.670     ;3.6305    ;-22.35      ;5.798    
2193;* bet Equ                          ;320.7233893414300 +06.8111398381800;  53.843 10.742     ;10.1648   ;-11.10      ;5.148    
2194;* 19 Peg                           ;330.2884763744500 +08.2571656372000;  -8.608 -0.975     ;5.9112    ;-19.82      ;5.633    
2195;* 36 Peg                           ;337.2832609831200 +09.1290350447800; 51.672 -19.697     ;4.4408    ;-30.21      ;5.574    
2196;* rho Peg                          ;343.8069536722100 +08.8161814601300;  78.625 12.398     ;11.1664   ;-10.60      ;4.90     
2197;* 58 Peg                           ;347.5060875985200 +09.8220824555000; -16.496 -7.119     ;4.9594    ;8.00        ;5.386    
2198;* 55 Peg                           ;346.7510863886800 +09.4094927286100;  7.467 -12.276     ;9.9197    ;-5.34       ;4.520    
2199;* 57 Peg                           ;347.3810724271 +08.6771565650      ;     4.28 -6.29     ;4.17      ;14.0        ;5.14     
2200;* 59 Peg                           ;347.9341258775300 +08.7201162511400;  -7.897 -5.237     ;13.4598   ;10.60       ;5.154    
2201;HD 222377                          ;354.9793348651799 +09.6772970030000; 87.497 -10.496     ;14.0509   ;-4.50       ;5.960    
2202;* 77 Peg                           ;355.8431615277800 +10.3315380206000;   4.808 11.391     ;5.0882    ;-32.67      ;5.071    
2203;* 82 Peg                           ;358.1546133520300 +10.9472867894300; -19.158 15.799     ;18.092    ;-3.50       ;5.300    
2204;* 80 Peg                           ;357.8385418948000 +09.3133564552700; -9.991 -64.427     ;3.8065    ;-8.32       ;5.780    
2205;* c Psc                            ;000.6237579854 +08.4854631419      ;  -94.10 -47.42     ;27.10     ;9.20        ;5.690    
2206;* 34 Psc                           ;002.5091791733600 +11.1458158083500;   31.493 2.651     ;11.0592   ;13.40       ;5.530    
2207;* omi Psc                          ;026.3484383965500 +09.1577507334200;  71.227 53.727     ;12.5296   ;12.16       ;4.26     
2208;* ksi01 Cet                        ;033.2500013271500 +08.8467023506500; -26.965 -1.154     ;10.4184   ;-3.93       ;4.35     
2209;* 64 Cet                           ;032.8378281606800 +08.5698071857800;-141.042 -113.463   ;23.7901   ;-19.017     ;5.623    
2210;* ksi02 Cet                        ;037.0398210789746 +08.4600602248073;  23.707 -4.787     ;16.5681   ;11.90       ;4.30     
2211;HD 16247                           ;039.1461248980299 +07.7300279129751;-57.255 -19.327     ;11.6563   ;-23.39      ;5.811    
2212;* gam Equ                          ;317.5854169671500 +10.1315811021600;45.456 -152.116     ;28.2433   ;-16.489     ;4.68     
2213;* del Equ                          ;318.6200637821 +10.0069794106      ;  42.39 -304.19     ;54.09     ;-15.85      ;4.49     
2214;* eps Peg                          ;326.0464839142 +09.8750086533      ;     26.92 0.44     ;4.73      ;3.39        ;2.39     
2215;* 17 Peg                           ;329.2348845456400 +12.0764937330200;-27.948 -13.881     ;7.2169    ;10.30       ;5.533    
2216;* 21 Peg                           ;330.8293025481199 +11.3865484376500;  17.080 -2.826     ;4.6202    ;-0.384      ;5.822    
2217;HD 210502                          ;332.6559680856200 +11.6245390194400;-47.009 -54.707     ;5.2577    ;13.78       ;5.774    
2218;* 31 Peg                           ;335.3794796033 +12.2051841153      ;      6.32 4.80     ;2.01      ;-5.30       ;4.99     
2219;* 42 Peg                           ;340.3655029900 +10.8313633103      ;   77.22 -11.38     ;15.96     ;6.10        ;3.41     
2220;* ksi Peg                          ;341.6732493926392 +12.1728857944744;233.354 -493.133    ;60.9161   ;-5.853      ;4.20     
2221;HD 219139                          ;348.3604350058600 +11.0650043023900;  -6.729 -4.906     ;9.4433    ;17.24       ;5.852    
2222;* 66 Peg                           ;350.7690324777800 +12.3139101024800; 21.568 -21.096     ;9.5158    ;-5.82       ;5.081    
2223;* 70 Peg                           ;352.2887468325500 +12.7605498809300;  60.447 28.353     ;17.1942   ;-16.88      ;4.56     
2224;* 86 Peg                           ;001.4248400551900 +13.3962681337900;  43.461 -5.924     ;8.526     ;1.90        ;5.537    
2225;* 58 Psc                           ;011.7560670205200 +11.9738515676700; 56.171 -34.165     ;13.628    ;-2.61       ;5.504    
2226;* pi. Psc                          ;024.2746924393300 +12.1417829497100;  -72.589 9.676     ;30.3493   ;-4.20       ;5.535    
2227;* 54 Cet                           ;027.7165525403900 +11.0433783323000;-69.516 -27.520     ;24.0374   ;10.50       ;5.922    
2228;* ksi Ari                          ;036.2044068129500 +10.6105586500800; 20.979 -15.022     ;4.2483    ;-0.50       ;5.478    
2229;HD 18262                           ;044.0573635127900 +08.3815621930300; 66.401 -89.435     ;23.1485   ;27.264      ;5.963    
2230;* lam Cet                          ;044.9287494646 +08.9073582975      ;    6.01 -17.70     ;5.66      ;10.2        ;4.70     
2231;HD 202951                          ;319.7167789042400 +11.2033807803000;  21.643 15.723     ;3.339     ;-37.0       ;5.951    
2232;* 20 Peg                           ;330.2722958685300 +13.1198380947500; 55.173 -61.043     ;14.4396   ;4.80        ;5.599    
2233;HD 214995                          ;340.4893994356900 +14.5163939876400; 94.755 -20.832     ;11.1472   ;-28.694     ;5.921    
2234;* alf Peg                          ;346.19022269 +15.20526715          ;   60.40 -41.30     ;24.46     ;-2.70       ;2.48     
2235;* gam Peg                          ;003.3089634617 +15.1835935442      ;     1.98 -9.28     ;8.33      ;3.20        ;2.84     
2236;* 53 Psc                           ;009.1971291682900 +15.2317195369300;   3.918 -9.890     ;3.5167    ;-8.00       ;5.863    
2237;* 57 Psc                           ;011.6372993748300 +15.4755090182400;-26.456 -49.740     ;4.5662    ;-24.26      ;5.38     
2238;* 72 Psc                           ;016.2723163971700 +14.9461349613400;   8.735 53.512     ;18.9413   ;4.34        ;5.631    
2239;* eta Psc                          ;022.8708760779 +15.3458245944      ;    27.14 -2.64     ;9.33      ;13.78       ;3.620    
2240;HD 12479                           ;030.6461542132000 +13.4767208966900;  -2.056 -3.413     ;4.6547    ;-7.14       ;5.94     
2241;* 31 Ari                           ;039.1579955527400 +12.4476317721400;279.471 -85.654     ;28.9026   ;8.60        ;5.64     
2242;HD 210702                          ;332.9638789420400 +16.0405549904100; -3.263 -17.296     ;18.4593   ;16.39       ;5.930    
2243;V* IM Peg                          ;343.2594433241500 +16.8411945964000;-21.185 -27.444     ;10.1655   ;-14.43      ;5.890    
2244;HD 218792                          ;347.6776544865400 +17.5943730646100; 24.246 -27.157     ;6.6983    ;2.55        ;5.661    
2245;* 75 Peg                           ;354.4866762186000 +18.4006661360500;  48.630 17.111     ;13.4192   ;-3.27       ;5.482    
2246;* phi Peg                          ;358.1220326287100 +19.1202859855300; -7.003 -35.176     ;6.9626    ;-7.75       ;5.08     
2247;* 87 Peg                           ;002.2601030964700 +18.2119652197100;140.876 -25.250     ;10.8284   ;-20.23      ;5.555    
2248;* 47 Psc                           ;007.0121448387300 +17.8931270486800; 114.648 20.338     ;6.0025    ;5.31        ;5.06     
2249;* 87 Psc                           ;018.5317840076300 +16.1334762373800;-27.887 -26.077     ;7.6775    ;-16.30      ;5.962    
2250;* 105 Psc                          ;024.9200764433900 +16.4058551361400; 82.980 -12.383     ;8.6602    ;15.55       ;5.979    
2251;* 4 Ari                            ;027.0455153663700 +16.9555159733000; 63.473 -29.890     ;12.0473   ;5.70        ;5.841    
2252;* 19 Ari                           ;033.2637674217900 +15.2798630801500; 97.957 -20.879     ;5.5659    ;22.57       ;5.70     
2253;* 29 Ari                           ;038.2255912636400 +15.0345355763300; -20.534 49.072     ;34.1525   ;9.10        ;5.988    
2254;* 9 Peg                            ;326.1278992246 +17.3500158506      ;    8.66 -11.33     ;3.52      ;-22.733     ;4.35     
2255;* 13 Peg                           ;327.5362496496 +17.2858496883      ;   91.63 -44.04     ;29.92     ;-1.10       ;5.336    
2256;HD 210074                          ;331.8691364414900 +19.4755286187300; 121.854 37.059     ;15.8062   ;-14.8       ;5.740    
2257;* 40 Peg                           ;339.7191408085800 +19.5222510716400;-48.713 -93.922     ;7.9475    ;-14.80      ;5.820    
2258;* 51 Peg                           ;344.3665853552400 +20.7688325111400; 207.328 61.164     ;64.4048   ;-33.165     ;5.46     
2259;HD 218396                          ;346.8696488373100 +21.1342529909700;108.284 -50.040     ;24.462    ;-12.60      ;5.953    
2260;* chi Peg                          ;003.6506845104187 +20.2067028826844;   91.831 1.152     ;9.4052    ;-46.60      ;4.800    
2261;* 52 Psc                           ;008.1478533677800 +20.2943176963000;135.640 -47.447     ;11.7438   ;-12.07      ;5.370    
2262;* 55 Psc                           ;009.9815482378100 +21.4384966779900; 28.050 -28.120     ;7.5057    ;-18.46      ;5.428    
2263;* 54 Psc                           ;009.8408558033525 +21.2504758054778;-461.948 -369.624   ;90.0248   ;-32.898     ;5.88     
2264;* 66 Psc                           ;013.6467607099654 +19.1884221737897; 12.687 -11.581     ;13.0242   ;8.50        ;5.790    
2265;* 74 Psc A                         ;016.4206469617 +21.4731802431      ;   44.49 -14.82     ;11.86     ;-3.90       ;5.273    
2266;* 74 Psc B                         ;016.4237962945400 +21.4654477796400; 54.952 -15.938     ;11.3778   ;-7.20       ;5.455    
2267;* psi02 Psc                        ;016.9881832461600 +20.7390695507200; 87.677 -90.069     ;17.9579   ;-15.20      ;5.563    
2268;* psi03 Psc                        ;017.4550037385200 +19.6584069058700;   -5.971 9.170     ;7.8074    ;-8.0        ;5.562    
2269;* chi Psc                          ;017.8634115500 +21.0346501558      ;   39.32 -10.48     ;8.50      ;15.48       ;4.658    
2270;HD 8388                            ;020.8539538767600 +20.4689684339200;  -5.480 -8.816     ;2.8345    ;-10.74      ;5.971    
2271;* rho Psc                          ;021.5635933178100 +19.1723473929700; -25.803 11.283     ;38.8391   ;-2.15       ;5.344    
2272;* 94 Psc                           ;021.6736631405300 +19.2404239130700; 51.289 -57.443     ;10.8298   ;-42.53      ;5.495    
2273;HD 9640                            ;023.7044383495300 +18.4605116154100; 29.643 -65.753     ;5.9722    ;-31.03      ;5.903    
2274;* 107 Psc                          ;025.6240105213667 +20.2685126826972;-300.737 -673.539   ;130.8234  ;-33.619     ;5.24     
2275;* gam01 Ari                        ;028.3825800137264 +19.2959529982388;77.845 -106.965     ;18.8809   ;3.7         ;4.589    
2276;* gam02 Ari                        ;028.3825538685100 +19.2938555497700; 77.138 -97.321     ;19.6268   ;-0.6        ;4.52     
2277;* iot Ari                          ;029.3377281775 +17.8175334011      ;   34.76 -22.95     ;6.27      ;-5.95       ;5.105    
2278;* omi Ari                          ;041.1373831062600 +15.3118598691800;  2.942 -16.236     ;5.7867    ;-2.40       ;5.777    
2279;* sig Ari                          ;042.8732768569800 +15.0820676330600; 29.636 -24.650     ;7.0519    ;17.0        ;5.516    
2280;V* NZ Peg                          ;324.7549529914800 +20.2654509169900; 122.189 -1.203     ;25.0683   ;-12.9       ;5.762    
2281;* 5 Peg                            ;324.4392923822000 +19.3186091701500; 100.001 13.896     ;11.2171   ;-35.80      ;5.448    
2282;HD 207840                          ;327.8927025733200 +19.8266819851100;  20.922 13.631     ;6.3737    ;-20.4       ;5.768    
2283;HD 208108                          ;328.4057860322600 +19.6684666526200;    5.593 2.550     ;15.1464   ;5.6         ;5.676    
2284;* 25 Peg                           ;331.9595994813300 +21.7029267451900;-45.946 -68.172     ;4.8899    ;-61.60      ;5.78     
2285;* lam Peg                          ;341.6328244225 +23.5656544833      ;   55.75 -10.15     ;8.93      ;-4.15       ;3.93     
2286;* tau Peg                          ;350.1593592882200 +23.7403550644600;  36.270 -2.505     ;20.7145   ;15.20       ;4.580    
2287;* ups Peg                          ;351.3449286356604 +23.4041008102264; 191.856 36.183     ;18.7061   ;-8.59       ;4.40     
2288;* 71 Peg                           ;353.3670584525 +22.4987762658      ;    9.92 -16.89     ;6.27      ;1.62        ;5.42     
2289;* psi Peg                          ;359.4396950296 +25.1414022133      ;  -35.24 -31.60     ;6.85      ;-6.59       ;4.66     
2290;* zet And                          ;011.8346894567 +24.2671780142      ; -101.17 -81.77     ;17.24     ;-24.43      ;4.06     
2291;* 36 And                           ;013.74210869 +23.62832774          ;  135.43 -48.61     ;26.33     ;-0.84       ;5.45     
2292;* eta And                          ;014.3016674271 +23.4176487853      ;  -43.47 -45.73     ;14.20     ;-10.30      ;4.42     
2293;* 1 Ari                            ;027.53570767 +22.27533610          ;   -16.52 -8.25     ;5.57      ;6.95        ;5.86     
2294;* bet Ari                          ;028.66004579 +20.80803147          ;  98.74 -110.41     ;55.60     ;-3.10       ;2.65     
2295;HD 12139                           ;029.8986814705900 +21.0585688406500;141.358 -14.694     ;9.3842    ;-1.65       ;5.892    
2296;* 15 Ari                           ;032.6566537023500 +19.5003367021000; 88.751 -27.183     ;4.8855    ;62.04       ;5.688    
2297;* tet Ari                          ;034.5313775477800 +19.9011576089800;  -7.832 -3.654     ;7.222     ;2.30        ;5.572    
